| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| Vinyl fluoride | Acrylate, methyl | 0.01 | 43 |  |  |  | 606 |
| Vinyl fluoride | Acrylonitrile | 0.005 | 44 |  |  |  | 528 |
| Vinyl fluoride | Acrylonitrile | 1 | 24 |  |  |  | 590 |
| Vinyl fluoride | Ethylene | 0.3 | 1.7 |  |  |  | 590 |
| Vinyl fluoride | Ethylene, chlorotrifluoro- | 0.8 | 1.2 |  |  |  | 406 |
| Vinyl fluoride | Vinyl acetate | 0.25 | 3.5 |  |  |  | 755 |
| Vinyl fluoride | Vinyl chloride | 0.05 | 11 |  |  |  | 590 |
| Vinyl fluoride | Vinyl chloride | 0.11 | 11.6 |  |  |  | 755 |
| Vinyl fluoride | Vinylidene chloride | 0.16 | 6 |  |  |  | 607 |
| Vinyl formate | Allyl chloride | 0.57 | 0.78 |  |  |  | 438 |
| Vinyl formate | Vinyl acetate | 0.68 | 1.41 |  |  |  | 401 |
| Vinyl isobutyl ether | Acrylate, 2-chloroethyl | 0 | 2.24 |  |  |  | 790 |
| Vinyl isobutyl ether | Maleate, diethyl | 0 | 0.17 |  |  |  | 640 |
| Vinyl isobutyl ether | Styrene | 0.01 | 50 |  |  |  | 490 |
| Vinyl isobutyl ether | Vinylene carbonate | 0.18 | 0.16 |  |  |  | 322 |
| Vinyl isobutyl ether | Fumarate, diethyl | 0 | 0.52 |  |  |  | 640 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
|  | 4-piperidinyl |  |  |  |  |  |  |
| Vinyl methyl ketone | Triazine, 4,6-diamino-2-vinyl- | 0.17 | 0.11 | 1.35 | 0.68 | Y | 243 |
| Vinyl methyl ketone | Vinyl acetate |  |  |  |  | Y | 91 |
| Vinyl methyl sulfide | Vinylene carbonate | 7.72 | 1.68 | -0.08 | 0.17 | Y | 120 |
| Vinyl mono-ethyleneglycol ether | Methacrylate, glycidyl | 0 |  | 4.41 |  |  | 780 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Vinyl p-benzylethylcarbinol | Acrylate, butyl | 0.4 |  | 0.17 |  |  | 591 |
| Vinyl p-benzylethylcarbinol | Acrylate, methyl | 0.48 |  | 0.18 |  |  | 591 |
| Vinyl p-benzylethylcarbinol | Acrylonitrile | 0.31 |  | 0.04 |  |  | 591 |
| Vinyl p-benzylmethylcarbinol | Acrylonitrile | 0.54 | 0.2 | 0.11 | 0.17 | N | 48 |
| Vinyl p-benzylmethylcarbinol | Methacrylate, methyl | 0.98 | 0.28 | 0.24 | 0.26 | Y | 48 |
| Vinyl p-benzylmethylcarbinol | Styrene | 0.94 | 0.15 | 0.98 | 0.32 | Y | 48 |
| Vinyl p-benzylmethylcarbinol | Styrene, p-chloro- | 1 |  | 1 |  | Y | 48 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Vinyl propionate | Butadiene, 2-chloro- |  |  |  |  | N | 247 |
| Vinyl thiolacetate | Vinylene carbonate | 13.57 | 1.04 | 0.041 | 0.01 | Y | 186 |
| Vinyl trimethylammonioethyl ether iodide | N-Vinylpyrrolidone | 0 | 0.02 | 11.6 | 0.03 |  | 1037 |
| Vinyl, 2-, 2-methyl-4,4,6,6-tetraphenyl-cyclotrisiloxane | Styrene | 0.8 |  | 0.11 |  |  | 626 |
| Vinylanthracene, 9- | Acrylate, butyl | 0.126 | 0.054 | 3.717 | 0.046 | Y | 123 |
| Vinylanthracene, 9- | Acrylate, ethyl | 0.295 | 0.056 | 3.498 | 0.041 | Y | 123 |
| Vinylanthracene, 9- | Acrylate, methyl | 0.08 | 0.092 | 2.998 | 0.067 | Y | 123 |
| Vinylanthracene, 9- | Methacrylate, methyl | 0.117 | 0.043 | 4.068 | 0.04 | Y | 123 |
| Vinylanthracene, 9- | Styrene | 0.25 |  | 2.12 |  |  | 123 |
| Vinylanthracene, 9- | Styrene | 0.3 |  | 2.12 |  |  | 48 |
| Vinylbenzoate, p-, sodium | Acrylonitrile | 0.23 | 0.34 | 0.174 | 0.04 | Y | 175 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Vinylbenzoic acid, p- | Acrylonitrile | 1.63 | 0.42 | 0.06 | 0.009 | Y | 175 |
| Vinylbenzoic acid, p- | Methacrylate, methyl | 1.16 | 0.3 | 0.398 | 0.097 | Y | 266 |
| Vinylbenzoic acid, p- | Styrene | 1.029 | 0.06 | 0.282 | 0.011 | Y | 266 |
| Vinylene carbonate | Acrylamide | 0.05 |  | 13.8 |  |  | 387 |
| Vinylene carbonate | Acrylonitrile | 0.08 |  | 14.9 |  |  | 579 |
| Vinylene carbonate | Methacrylate, methyl | -0.04 | 0.85 | 126 | 298 | Y | 103 |
| Vinylene carbonate | Pyrrolidone, N-vinyl- | 0.056 | 0.059 | 1.08 | 0.11 | Y | 103 |
| Vinylene carbonate | Styrene | 3.16 |  | 411 |  | Y | 103 |
| Vinylene carbonate | Styrene | -0.73 | 0.98 | 21.03 | 23.45 | Y | 120 |
| Vinylene carbonate | Vinyl acetate | 0.3 | 0.3 | 3.2 | 0.62 | Y | 103 |
| Vinylene carbonate | Vinyl acetate | 0.27 |  | 3 |  |  | 103 |
| Vinylene carbonate | Vinyl acetate | 0.05 | 0.16 | 7.16 | 0.64 | Y | 120 |
| Vinylene carbonate | Vinyl acetate | 0.13 |  | 7.3 |  |  | 120 |
| Vinylene carbonate | Vinyl acetate | 0.044 | 0.039 | 3.83 | 0.18 | Y | 144 |
| Vinylene carbonate | Vinyl acetate | 0.08 | 0.11 | 3.92 | 0.32 | Y | 90 |
| Vinylene carbonate | Vinyl chloride | 0.03 | 0.12 | 4.82 | 0.49 | Y | 103 |
| Vinylene carbonate | Vinyl chloride | 0.069 | 0.068 | 15.38 | 1.44 | Y | 319 |
| Vinylene carbonate | Vinyl chloride | 0 | 0.22 | 17.81 | 7.84 | Y | 319 |
| Vinylene carbonate | Vinyl isobutyl ether | 0.16 |  | 0.18 |  |  | 322 |
| Vinylene carbonate | Vinyl 1-menthyl ether | 0.14 | 1.91 | 0.25 | 3.32 | Y | 750 |
| Vinylene carbonate | Vinyl methyl sulfide | -0.08 | 0.17 | 7.72 | 1.68 | Y | 120 |
| Vinylene carbonate | Vinyl thiolacetate | 0.041 | 0.01 | 13.57 | 1.04 | Y | 186 |
| Vinylethynyl-4-piperidinol, 1,2,5-trimethyl-4- | Acrylonitrile | 0.38 |  | 0.08 |  |  | 783 |
| Vinylethynyl-4-piperidinol, 1,2,5-trimethyl-4- | Methacrylic acid | 0.05 |  | 0.4 |  |  | 734 |
| Vinylferrocene | Acrylonitrile | 0.15 |  | 0.16 |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Vinylidene chloride | Allylstearamide, N- | 5.22 | 0.15 | -0.24 | 0.19 | Y | 119 |
| Vinylidene chloride | Crotonaldehyde |  |  | 0 |  |  | 405 |
| Vinylidene chloride | Maleate, diethyl | 12.5 |  |  |  |  | 3 |
| Vinylidene chloride | Propenyl 2-methyl, acetate | 2.4 |  | 0 |  |  | 470 |
| Vinylidene chloride | Tetrazole, 2-methyl-5-(4'-vinyl)phenyl- | 0.13 |  | 1.9 |  |  | 583 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Vinylidene cyanide | Butadiene, 2-chloro- |  |  |  |  | Y | 82 |
| Vinylidene cyanide | Ethylene, dichloro-, cis- |  |  |  |  | Y | 82 |
| Vinylidene cyanide | Ethylene, dichloro-, cis- |  |  |  |  | Y | 82 |
| Vinylidene cyanide | Maleic anhydride |  |  |  |  | Y | 82 |
| Vinylmethylphenylsulfonium tetrafluoroborate | Acrylamide | 0.1 |  | 3.4 |  |  | 793 |
| Vinylmethylphenylsulfonium tetrafluoroborate | Acrylonitrile | 0.1 |  | 2.2 |  |  | 793 |
| Vinylphenylisocyanate, p- | Vinyl chloride | 11.9 |  | 0.1 |  |  | 777 |
| Vinylphenylpropanol, 2-p- | Styrene | 0.41 | 0.4 | 0.48 | 0.3 | Y | 72 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Vinyltrimethylsilane | Styrene |  |  |  |  | Y | 482 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylate, methyl | Styrene, p-1-(2-hydroxybutyl)- | 0.18 |  | 0.48 |  |  | 548 |
| Acrylate, methyl | Vinyl butylsulfonate | 4.14 |  |  |  |  | 185 |
| Acrylate, methyl | Vinyl cymantrene | 0.46 | 0.14 | 0.211 | 0.067 | Y | 354 |
| Acrylate, methyl | Vinyl, 2-bromo-, ethyl ether | 16.83 | 2.34 | -0.79 | 0.32 | Y | 194 |
| Acrylate, methyl | Vinyl, p-, benzylethylcarbinol | 0.18 |  | 0.48 |  |  | 591 |
| Acrylate, methyl | Vinylanthracene, 9- | 2.998 | 0.067 | 0.08 | 0.092 | Y | 123 |
| Acrylate, octadecyl | Styrene | 0.18 |  | 0.44 |  |  |  |
|  |  |  |  |  |  |  | 290 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylate, sodium | Vinyl acetate |  |  |  |  | Y | 37 |
| Acrylate, thio- butyl | Styrene | 0.421 | 0.17 | 0.439 | 0.14 |  | 806 |
| Acrylate, thio-, ethyl | Styrene | 0.291 | 0.075 | 0.18 | 0.038 |  | 806 |
| Acrylate, thio-, tert-butyl | Styrene | 0.368 | 0.055 | 0.157 | 0.034 |  | 806 |
| Acrylate, trifluoro-, methyl | Vinyl acetate | 0 |  | 0.24 |  |  |  |
| Acrylic acid | Acrylic acid, N-acetyl-a-amino- | 1.41 |  | 0.49 |  |  | 661 |
| Acrylic acid | Propenyl, 2-chloro-, acetate | 1 |  | 0 |  |  | 445 |
| Acrylic acid | Propylene |  |  |  |  | Y | 183 |
| Acrylate, p-bromophenyl; Methacrylate, methyl; Acrylate, trifluoro-, methyl; Vinyl acetate; Acrylic acid; Acrylamide; Acrylic acid; Acrylamide; Acrylic acid; Acrylate, pentachlorophenyl; Acrylic acid; N-Vinylimidazole | 0.191; 0; 1.644; 0.29; 0.82; 1.932 | 0.014; 0; 0.069; 0.077 | 0.926; 0.24; 0.445; 1.06; 1.12; 0.187 | 0.056; 0.075; 0.025 | Y; Y; Y | 1074; 595; 598; 278; 869; 900; 879 |  |
| Acrylic acid | Vinyl chloride | 6.69 |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylic acid, N-acetyl-a-amino | Acrylic acid | 0.49 |  | 1.41 |  |  | 661 |
| Acrylic acid, N-acetyl-a-amino- | Styrene | 0.44 |  | 0.91 |  |  | 661 |
| Acrylonitrile | Acrylate, 2-nitrobutyl | 0.67 | 0.25 | 1.76 | 0.69 | N | 234 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylonitrile | Acrylate, cis-(3-cyano-, methyl |  |  |  |  | N | 1034 |
| Acrylonitrile Acrylonitrile | Allyl acetate Allyl alcohol | 6.57 | 2.11 | -0.09 | 0.12 | Y N | 108 108 |
| Acrylonitrile | Allylstearamide, N- | 3.79 | 0.28 | 0.03 | 0.27 | Y | 119 |
| Acrylonitrile Acrylonitrile | Butadiene Butadiene | 0.06 0.03 | 0.02 | 0.1 0.2 | 0.01 | N | 501 66 |
| Acrylonitrile | Butene-1, 4-cyclohexyl- | 5.03 | 0.76 | 0.014 | 0.055 | Y | 24 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. | Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylonitrile | Cinnamate, a-cyano-, ethyl | 12.6 | 2.3 | -0.18 | 0.15 | Y | 310 | Acrylonitrile | Cinnamonitrile | 8.46 | 0.37 | 0.36 | 0.1 | Y | 310 |
| Acrylonitrile | Cinnamonitrile, a-cyano- | 8.53 |  | 0.6 |  | Y | 310 | Acrylonitrile | Citraconimide, N-methyl- | 0.53 | 0.6 |  |  |  | 460 |
| Acrylonitrile | Crotonaldehyde | 8 | 0 |  |  |  | 429 | Acrylonitrile | Crotonaldehyde | 25 | 0.01 |  |  |  | 504 |
| Acrylonitrile | Crotonate, a-chloro-, ethyl | 9.53 | 0 |  |  |  | 785 | Acrylonitrile | Crotonate, a-cyano-, ethyl | 11.4 | 0.06 |  |  |  | 785 |
| Acrylonitrile | Crotonate, a-methoxy-, methyl | 1 | 0 |  |  |  | 785 | Acrylonitrile | Crotonate, a-methyl-, methyl | 2.97 | 0 |  |  |  | 785 |
| Acrylonitrile | Crotonate, a-acetyl-, methyl | 8.68 | 0 |  |  |  | 785 | Acrylonitrile | Crotonate, a-carboethoxy-, ethyl | 18.7 | 0 |  |  |  | 785 |
| Acrylonitrile | Crotonate, ethyl | 25.2 | 0 |  |  |  | 785 | Acrylonitrile | Crotonic acid | 21 | 0 |  |  |  | 402 |
| Acrylonitrile | Cyclopentene, 4-, -1,3-dione | 3.02 | 0.71 | 0.04 | 0.058 | Y | 95 | Acrylonitrile | Cyclopropene, 3,3-dimethoxy- | 1.424 | 0.038 | 0.245 | 0.037 | Y | 838 |
| Acrylonitrile | Diallyl phthalate | 4.23 | 0.15 | 0.04 | 0.012 | Y | 153 | Acrylonitrile | Diallyl phthalate | 2.78 | 0.52 | 0.037 | 0.031 | Y | 153 |
| Acrylonitrile | Ethylene | 7 | 0 |  |  |  | 415 | Acrylonitrile | Ethylene, 1,1-diphenyl- | 0.05 | 0.01 | -0.02 | 0.01 | N | 143 |
| Acrylonitrile | Ethylene, tetrachloro- | 456 | 0 |  |  |  | 571 | Acrylonitrile | Ethylene, tetrachloro- | 470 | 0 |  |  |  | 59 |
| Acrylonitrile | Ethylene, trichloro- | 67 | 0 |  |  |  | 470 | Acrylonitrile | Ethylene, trichloro- | 62.1 | 0 |  |  |  | 572 |
| Acrylonitrile | Fumarate, diisopropyl | 16 | 0.2 |  |  |  | 1038 | Acrylonitrile | Fumarate, diethyl | 8 | 0 |  |  |  | 470 |
| Acrylonitrile | Fumarate, diethyl | 10 | 0.1 |  |  |  | 640 | Acrylonitrile | Hexatriene, tetrachloro- | 0.234 | 0.05 | 4.01 | 1.25 | Y | 640 |
| Acrylonitrile | Hexene-1 | 2.07 | -1.08 |  |  | Y | 60 | Acrylonitrile | Indene | 0.281 | 0.05 | 0.09 | 0.25 | Y | 360 |
| Acrylonitrile | Indene | 0.29 | 0.12 | 0.07 | 0.24 | Y | 360 | Acrylonitrile | Isobutylene | 1.295 | 0.008 | 0 | 0.002 | Y | 21 |
| Acrylonitrile | Isobutylene | 0.98 | 0.25 | 0.02 | 0.38 | Y | 211 | Acrylonitrile | Isobutylene | 1.02 | 0 |  |  |  | 484 |
| Acrylonitrile | Isoprene | 0.03 | 0.45 |  |  |  | 417 | Acrylonitrile | Isopropenyl methyl ketone | 0.3 | 1.2 |  |  |  | 490 |
| Acrylonitrile | Isopropenyl methyl ketone | 0.36 | 0.7 |  |  |  | 542 | Acrylonitrile | Isopropenylisocyanate | 0.24 | 0.1 |  |  |  | 434 |
| Acrylonitrile | Itaconic acid | 0.59 | 0.34 | 0.86 | 0.74 | Y | 164 | Acrylonitrile | Itaconic anhydride | 0.034 | 0.014 | 4.83 | 0.33 | Y | 365 |
| Acrylonitrile | Maleate, diethyl | 12 | 0 |  |  |  | 470 | Acrylonitrile | Maleate, diethyl | 20 | 0 |  |  |  | 640 |
| Acrylonitrile | Maleic anhydride | 6 | 0 |  |  |  | 470 | Acrylonitrile | Maleimide, N-(2-bromophenyl)- | 2.029 | 0.214 | 0.338 | 0.045 | Y | 863 |
| Acrylonitrile | Maleimide, N-(2-chlorophenyl)- | 0.956 | 0.095 | 1.078 | 0.048 | Y | 863 | Acrylonitrile | Maleimide, N-(4-chlorophenyl)- | 0.972 | 0.112 | 0.743 | 0.048 | Y | 863 |
| Acrylonitrile | Maleimide, N-2-bromophenyl- | 2.02 | 0.205 | 0.348 | 0.044 | Y | 915 | Acrylonitrile | Maleimide, N-2-chlorophenyl- | 0.955 | 0.095 | 1.08 | 0.048 | Y | 915 |
| Acrylonitrile | Maleimide, N-4-chlorophenyl- | 0.972 | 0.112 | 0.743 | 0.048 | Y | 915 | Acrylonitrile | Maleimide, N-octadecyl- | 2.482 | 0.119 | 0.389 | 0.023 | Y | 863 |
| Acrylonitrile | Maleimide, N-octadecyl- | 2.46 | 0.115 | 0.39 | 0.023 | Y | 915 | Acrylonitrile | Methacrylamide, N-(p-chlorophenyl)- | 0.399 | 0.019 | 0.627 | 0.051 | Y | 352 |
| Acrylonitrile | Methacrylamide, N-(p-methoxyphenyl)- | 0.337 | 0.019 | 0.559 | 0.048 | Y | 352 | Acrylonitrile | Methacrylamide, N-(p-methylphenyl)- | 0.336 | 0.026 | 0.549 | 0.06 | Y | 352 |
| Acrylonitrile | Methacrylamide, N-(p-nitrophenyl)- | 0.37 | 0.14 | 2.34 | 1.07 | Y | 352 | Acrylonitrile | Methacrylamide, N-phenyl- | 0.381 | 0.085 | 0.71 | 0.19 | Y | 352 |
| Acrylonitrile | Methacrylate, 2,2,6,6-tetramethyl- | 0.02 | 14 |  |  |  | 664 | 4-piperidinyl |  |  |  |  |  |  |  |
| Acrylonitrile | Methacrylate, | 0.38 | 1.89 |  |  |  | 600 | 2-(N,N-dimethylcarbamoyloxy)ethyl |  |  |  |  |  |  |  |
| Acrylonitrile | Methacrylate, 2-bromoethyl | 0.31 | 2.38 |  |  |  | 657 | Acrylonitrile | Methacrylate, 2-chloroethyl | 0.14 | 1.3 |  |  |  | 382 |
| Acrylonitrile | Methacrylate, 2-hydroxyethyl | 0.2 | 1 |  |  |  | 689 | Acrylonitrile | Methacrylate, 2-naphthyl | 0.15 | 0.2 | 1.17 | 0.2 | Y | 611 |
| Acrylonitrile | Methacrylate, 2-naphthyl | 0.094 | 0.099 | 1.02 | 0.19 | Y | 611 |  |  |  |  |  |  |  |  |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylonitrile | Methacrylate, ferrocenylmethyl | 0.15 | 0.04 | 0.82 | 0.42 | Y | 325 |
| Acrylonitrile | Methacrylate, potassium 18-crown-6-ether | 0.07 | 0.006 | 0.175 | 0.018 | Y | 808 |
|  |  |  |  |  |  |  |  |
| Acrylonitrile Acrylonitrile | Methacryloyl chloride Methacryloyl acetone | 0.35 0.01 | 0.004 | 2.8 3.74 | 0.22 | Y | 580 339 |
| Acrylonitrile Acrylonitrile | Norbornadiene Norbornadiene | 0.48 0.66 | 0.27 0.01 | 0.05 0.44 | 0.23 0.05 | N N | 267 69 |
| Acrylonitrile | Oct-1-ene, 6,6-dimethyl-4,8-dioxaspiro | 0.985 | 0.675 | 1.484 | 1.078 | Y | 838 |
| Acrylonitrile | Oxazoline, 2-,2-isopropenyl-,4-dimethyl | 0.24 |  | 1.83 |  |  | 596 |
|  |  |  |  |  |  |  |  |
| Acrylonitrile | Oxazoline, 2-,4-methacryloxy-2,4-dimethyl | 0.11 |  | 0.89 |  |  | 596 |
| Acrylonitrile Acrylonitrile | Phthalimide, N-vinyl- Phthalimide, N-(methacryloyloxy)- | 0.43 0.204 | 0.01 0.016 | 0.24 1.45 | 0.02 0.072 | Y | 1046 979 |
| Acrylonitrile | Pyridazinone, 3-(2-vinyl)-6-methyl- | 0.32 | 0.02 | 0.19 | 0.04 | N | 340 |
| Acrylonitrile | Pyridazinone, 3-(2-vinyl)-6-methyl-4,5- | 0.74 | 0.02 | 0.02 | 0.02 | N | 340 |
| Monomer 1 | Monomer 2 | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylonitrile | Pyrrolidone, N-vinyl- |  |  |  |  | Y | 213 |
| Acrylonitrile Acrylonitrile | Styrene, 4-methyl- Styrene, α-(trimethylsilyloxy)- | 0.079 0.05 | 0.005 | 0.227 0 | 0.021 | Y | 929 970 |
| Acrylonitrile Acrylonitrile | Styrene, m-methyl- Styrene, p-1-(2-hydroxy-butyl)- | 0.07 0.04 |  | 0.43 0.31 |  |  | 378 548 |
| Acrylonitrile | Styrene, p-1-(2-hydroxy-propyl)- | 0.1 |  | 0.53 |  |  | 380 |
| Acrylonitrile | Styrene, p-2-(2-hydroxy-propyl)- | 0.05 |  | 0.41 |  |  | 547 |
| Acrylonitrile | Tetrazole, 2-methyl-5-(4'-vinyl)phenyl- | 0.42 |  | 1.1 |  |  | 583 |
| Acrylonitrile | Toluenesulfonamide, N,N-methyl-vinyl- | 0.42 | 0.12 | 0.04 | 1.04 | Y | 80 |
| Acrylonitrile | 3,4,9,10-tetracarboxylic acid |  |  |  |  |  |  |
|  | Vinyl 3,3-bis(ethoxycarbonyl)propyl |  |  |  |  |  |  |
|  | ether |  |  |  |  |  |  |
| Acrylonitrile | Vinyl acetate |  |  |  |  | N | 235 |
| Acrylonitrile Acrylonitrile | Vinyl bromide Vinyl bromide | 2.79 2.25 | 0.2 | 0.06 0.06 | 0.04 | N | 268 268 |
| Acrylonitrile | Vinyl butyl ether |  |  |  |  | N | 345 |
| Monomer 1 | Monomer 2 |  | r1 | ±95% | r2 | ±95% | Conv. | Refs. |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Acrylonitrile | Vinyl butyl ether |  | 0.98 | 0.13 | -0.03 | 0.01 | N | 347 |
| Acrylonitrile | Vinyl butyl sulfide |  | 0.086 | 0.01 | 0.041 | 0.028 | Y | 303 |
| Acrylonitrile | Vinyl chloride |  | 3.26 | 0.34 | -0.01 | 0.037 | Y | 140 |
| Acrylonitrile | Vinyl chloride |  | 2.55 | 0.12 | 0.07 | 0.03 | N | 202 |
| Acrylonitrile | Vinyl chloride |  | 2.62 | 0.25 | 0.02 | 0.08 | N | 22 |
| Acrylonitrile | Vinyl chloride |  | 3.62 | 0.21 | 0.044 | 0.002 | Y | 238 |
| Acrylonitrile | Vinyl chloride |  | 3.65 | 0.22 | 0.052 | 0.01 | Y | 46 |
| Acrylonitrile Acrylonitrile | Vinyl chloride Vinyl chloroacetate |  | 4 4.18 | 0.33 | 0.04 -0.007 | 0.016 | Y | 529 362 |
| Acrylonitrile | Vinyl chloroacetate |  | 0.34 |  | 0.09 |  |  | 542 |
| Acrylonitrile Acrylonitrile | Vinyl chloroethyl ether Vinyl chloromethyl ketone |  | 1.04 0.064 | 0.05 0.019 | -0.02 0.88 | 0.02 0.12 | N Y | 116 356 |
| Acrylonitrile | Vinyl cymantrene |  | 0.446 | 0.048 | -0.065 | 0.093 | Y | 354 |
| Acrylonitrile | Vinyl dichloroacetate |  | 7.45 | 0.32 | 0.044 | 0.015 | N | 362 |
| Acrylonitrile | Vinyl dichloroacetate |  | 0.25 |  | 0.18 |  |  | 542 |
| Acrylonitrile | Vinyl dodecyl ether |  | 0.82 |  | 0 |  |  | 373 |
| Acrylonitrile | Vinyl ether |  | 0.94 |  | 0.02 |  |  | 386 |
| Acrylonitrile | Vinyl ethyl ether |  | 0.69 | 0.12 | 0.06 | 0.12 | N | 194 |
